cell_id,source,axis_tuple,cell,seed,pre_leakage_fmax,pre_leakage_dataset,target_eval_set,estimated_runtime_minutes,priority,status,notes
study_v9_rep_nk-bpo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,7,0.463836,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-cco_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-cco,137,0.483969,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-cco_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-cco,42,0.483481,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-cco_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-cco,7,0.481809,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-mfo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-mfo,137,0.457011,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-mfo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-mfo,42,0.459232,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-mfo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-mfo,7,0.460536,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-bpo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-bpo,137,0.112864,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-bpo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-bpo,42,0.110953,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-bpo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-bpo,7,0.112521,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-cco_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-cco,137,0.128467,bench-v1-K5,bench-v1-K5-filtered,10,1,pending,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-cco_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-cco,42,0.124843,bench-v1-K5,bench-v1-K5-filtered,10,1,pending,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-cco_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-cco,7,0.123824,bench-v1-K5,bench-v1-K5-filtered,10,1,pending,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-mfo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,137,0.103353,bench-v1-K5,bench-v1-K5-filtered,10,1,pending,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-mfo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.104670,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_pk-mfo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,7,0.104497,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
bench-v1-K5_nk-bpo_standalone,standalone,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.464910,bench-v1-K5,bench-v1-K5-filtered,10,1,pending,Earliest bench-v1-K5 nk-bpo run. Overlaps with study_v9_rep_nk-bpo_seed42 logically.
study_v9_abl_lk-cco_drop_alignment_nw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_nw,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.251098,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop alignment_nw family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_alignment_sw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_sw,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.251772,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop alignment_sw family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_anc2vec_neighbor,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_neighbor,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.249110,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_neighbor family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_anc2vec_query,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_query,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.096631,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_query family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_annotation_meta,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_annotation_meta,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.257252,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop annotation_meta family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_emb_pca,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_emb_pca,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.250648,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop emb_pca family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_go_context,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_go_context,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.247171,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop go_context family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_knn,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.243885,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_knn_distance,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_distance,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.250653,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_distance family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_knn_vote,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_vote,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.248682,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_vote family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_length,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_length,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.251173,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop length family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_taxonomy_pair,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_pair,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.251986,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_pair family. Validates feature importance on leakage-free eval.
study_v9_abl_lk-cco_drop_taxonomy_voters,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_voters,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.249935,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_voters family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_alignment_nw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_nw,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.462729,bench-v1-K5,bench-v1-K5-filtered,10,2,done,Ablation: drop alignment_nw family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_alignment_sw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_sw,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.463224,bench-v1-K5,bench-v1-K5-filtered,10,2,done,Ablation: drop alignment_sw family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_anc2vec_neighbor,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_neighbor,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.459048,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_neighbor family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_anc2vec_query,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_query,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.208419,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_query family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_annotation_meta,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_annotation_meta,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.458277,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop annotation_meta family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_emb_pca,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_emb_pca,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.464315,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop emb_pca family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_go_context,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_go_context,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.466089,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop go_context family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_knn,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.456211,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_knn_distance,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_distance,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.460982,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_distance family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_knn_vote,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_vote,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.461603,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_vote family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_length,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_length,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.466451,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop length family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_taxonomy_pair,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_pair,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.462080,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_pair family. Validates feature importance on leakage-free eval.
study_v9_abl_nk-bpo_drop_taxonomy_voters,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_taxonomy_voters,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.463023,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop taxonomy_voters family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_alignment_nw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_nw,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.104278,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop alignment_nw family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_alignment_sw,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_alignment_sw,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.107179,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop alignment_sw family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_anc2vec_neighbor,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_neighbor,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.107149,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_neighbor family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_anc2vec_query,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_anc2vec_query,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.078849,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop anc2vec_query family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_annotation_meta,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_annotation_meta,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.102703,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop annotation_meta family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_emb_pca,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_emb_pca,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.107106,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop emb_pca family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_go_context,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_go_context,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.105275,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop go_context family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_knn,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.088163,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn family. Validates feature importance on leakage-free eval.
study_v9_abl_pk-mfo_drop_knn_distance,study_v9_ablation,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage-drop_knn_distance,eval=bench-v1-K5,prop=tpr_pred,ens=none",pk-mfo,42,0.101553,bench-v1-K5,bench-v1-K5-filtered,10,2,pending,Ablation: drop knn_distance family. Validates feature importance on leakage-free eval.
